"","code","title","timing","scope","severity","score","invasive"
"1","1.1","Housing & urban areas","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"2","11.1","Habitat shifting & alteration","Ongoing","Whole (>90%)","Slow, Significant Declines","Medium Impact: 7",NA
"3","2.1","Annual & perennial non-timber crops","Ongoing","Majority (50-90%)","Rapid Declines","Medium Impact: 7",NA
"4","2.1","Annual & perennial non-timber crops","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"5","2.1","Annual & perennial non-timber crops","Ongoing","Minority (<50%)","Very Rapid Declines","Medium Impact: 7",NA
"6","2.1.1","Shifting agriculture","Ongoing","Majority (50-90%)","Rapid Declines","Medium Impact: 7",NA
"7","2.1.2","Small-holder farming","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"8","2.1.3","Agro-industry farming","Ongoing","Minority (<50%)","Very Rapid Declines","Medium Impact: 7",NA
"9","2.3","Livestock farming & ranching","Ongoing","Minority (<50%)","Rapid Declines","Medium Impact: 6",NA
"10","2.3","Livestock farming & ranching","Ongoing","Minority (<50%)","Unknown","Unknown",NA
"11","2.3.2","Small-holder grazing, ranching or farming","Ongoing","Minority (<50%)","Unknown","Unknown",NA
"12","2.3.3","Agro-industry grazing, ranching or farming","Ongoing","Minority (<50%)","Rapid Declines","Medium Impact: 6",NA
"13","3.2","Mining & quarrying","Future","Minority (<50%)","Rapid Declines","Low Impact: 4",NA
"14","5.1","Hunting & trapping terrestrial animals","Ongoing","Majority (50-90%)","Very Rapid Declines","High Impact: 8",NA
"15","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Very Rapid Declines","Medium Impact: 7",NA
"16","5.1.1","Intentional use (species is the target)","Ongoing","Majority (50-90%)","Very Rapid Declines","High Impact: 8",NA
"17","5.1.2","Unintentional effects (species is not the target)","Ongoing","Minority (<50%)","Very Rapid Declines","Medium Impact: 7",NA
"18","5.3","Logging & wood harvesting","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"19","5.3","Logging & wood harvesting","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"20","5.3.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"21","5.3.4","Unintentional effects: (large scale) [harvest]","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"22","6.2","War, civil unrest & military exercises","Past, Likely to Return","Majority (50-90%)","Rapid Declines","Past Impact",NA
"23","6.3","Work & other activities","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"24","8.5","Viral/prion-induced diseases","Ongoing","Minority (<50%)","Very Rapid Declines","Medium Impact: 7",NA
"25","8.5.1","Unspecified species","Ongoing","Minority (<50%)","Very Rapid Declines","Medium Impact: 7",NA
