"","date","hits","keyword","geo","time","gprop","category"
"1",2021-06-06,73,"Common Ostrich","US","today 12-m","web",0
"2",2021-06-13,12,"Common Ostrich","US","today 12-m","web",0
"3",2021-06-20,12,"Common Ostrich","US","today 12-m","web",0
"4",2021-06-27,24,"Common Ostrich","US","today 12-m","web",0
"5",2021-07-04,13,"Common Ostrich","US","today 12-m","web",0
"6",2021-07-11,25,"Common Ostrich","US","today 12-m","web",0
"7",2021-07-18,25,"Common Ostrich","US","today 12-m","web",0
"8",2021-07-25,12,"Common Ostrich","US","today 12-m","web",0
"9",2021-08-01,25,"Common Ostrich","US","today 12-m","web",0
"10",2021-08-08,12,"Common Ostrich","US","today 12-m","web",0
"11",2021-08-15,12,"Common Ostrich","US","today 12-m","web",0
"12",2021-08-22,25,"Common Ostrich","US","today 12-m","web",0
"13",2021-08-29,37,"Common Ostrich","US","today 12-m","web",0
"14",2021-09-05,13,"Common Ostrich","US","today 12-m","web",0
"15",2021-09-12,25,"Common Ostrich","US","today 12-m","web",0
"16",2021-09-19,63,"Common Ostrich","US","today 12-m","web",0
"17",2021-09-26,0,"Common Ostrich","US","today 12-m","web",0
"18",2021-10-03,100,"Common Ostrich","US","today 12-m","web",0
"19",2021-10-10,26,"Common Ostrich","US","today 12-m","web",0
"20",2021-10-17,25,"Common Ostrich","US","today 12-m","web",0
"21",2021-10-24,64,"Common Ostrich","US","today 12-m","web",0
"22",2021-10-31,38,"Common Ostrich","US","today 12-m","web",0
"23",2021-11-07,38,"Common Ostrich","US","today 12-m","web",0
"24",2021-11-14,13,"Common Ostrich","US","today 12-m","web",0
"25",2021-11-21,26,"Common Ostrich","US","today 12-m","web",0
"26",2021-11-28,24,"Common Ostrich","US","today 12-m","web",0
"27",2021-12-05,50,"Common Ostrich","US","today 12-m","web",0
"28",2021-12-12,39,"Common Ostrich","US","today 12-m","web",0
"29",2021-12-19,55,"Common Ostrich","US","today 12-m","web",0
"30",2021-12-26,26,"Common Ostrich","US","today 12-m","web",0
"31",2022-01-02,25,"Common Ostrich","US","today 12-m","web",0
"32",2022-01-09,0,"Common Ostrich","US","today 12-m","web",0
"33",2022-01-16,38,"Common Ostrich","US","today 12-m","web",0
"34",2022-01-23,39,"Common Ostrich","US","today 12-m","web",0
"35",2022-01-30,40,"Common Ostrich","US","today 12-m","web",0
"36",2022-02-06,26,"Common Ostrich","US","today 12-m","web",0
"37",2022-02-13,13,"Common Ostrich","US","today 12-m","web",0
"38",2022-02-20,0,"Common Ostrich","US","today 12-m","web",0
"39",2022-02-27,26,"Common Ostrich","US","today 12-m","web",0
"40",2022-03-06,52,"Common Ostrich","US","today 12-m","web",0
"41",2022-03-13,38,"Common Ostrich","US","today 12-m","web",0
"42",2022-03-20,13,"Common Ostrich","US","today 12-m","web",0
"43",2022-03-27,62,"Common Ostrich","US","today 12-m","web",0
"44",2022-04-03,12,"Common Ostrich","US","today 12-m","web",0
"45",2022-04-10,38,"Common Ostrich","US","today 12-m","web",0
"46",2022-04-17,38,"Common Ostrich","US","today 12-m","web",0
"47",2022-04-24,37,"Common Ostrich","US","today 12-m","web",0
"48",2022-05-01,25,"Common Ostrich","US","today 12-m","web",0
"49",2022-05-08,51,"Common Ostrich","US","today 12-m","web",0
"50",2022-05-15,36,"Common Ostrich","US","today 12-m","web",0
"51",2022-05-22,13,"Common Ostrich","US","today 12-m","web",0
"52",2022-05-29,30,"Common Ostrich","US","today 12-m","web",0
"53",2021-06-06,0,"Greater Rhea","US","today 12-m","web",0
"54",2021-06-13,0,"Greater Rhea","US","today 12-m","web",0
"55",2021-06-20,19,"Greater Rhea","US","today 12-m","web",0
"56",2021-06-27,37,"Greater Rhea","US","today 12-m","web",0
"57",2021-07-04,0,"Greater Rhea","US","today 12-m","web",0
"58",2021-07-11,18,"Greater Rhea","US","today 12-m","web",0
"59",2021-07-18,19,"Greater Rhea","US","today 12-m","web",0
"60",2021-07-25,0,"Greater Rhea","US","today 12-m","web",0
"61",2021-08-01,19,"Greater Rhea","US","today 12-m","web",0
"62",2021-08-08,19,"Greater Rhea","US","today 12-m","web",0
"63",2021-08-15,55,"Greater Rhea","US","today 12-m","web",0
"64",2021-08-22,0,"Greater Rhea","US","today 12-m","web",0
"65",2021-08-29,19,"Greater Rhea","US","today 12-m","web",0
"66",2021-09-05,39,"Greater Rhea","US","today 12-m","web",0
"67",2021-09-12,0,"Greater Rhea","US","today 12-m","web",0
"68",2021-09-19,19,"Greater Rhea","US","today 12-m","web",0
"69",2021-09-26,0,"Greater Rhea","US","today 12-m","web",0
"70",2021-10-03,0,"Greater Rhea","US","today 12-m","web",0
"71",2021-10-10,39,"Greater Rhea","US","today 12-m","web",0
"72",2021-10-17,0,"Greater Rhea","US","today 12-m","web",0
"73",2021-10-24,0,"Greater Rhea","US","today 12-m","web",0
"74",2021-10-31,39,"Greater Rhea","US","today 12-m","web",0
"75",2021-11-07,0,"Greater Rhea","US","today 12-m","web",0
"76",2021-11-14,38,"Greater Rhea","US","today 12-m","web",0
"77",2021-11-21,59,"Greater Rhea","US","today 12-m","web",0
"78",2021-11-28,0,"Greater Rhea","US","today 12-m","web",0
"79",2021-12-05,0,"Greater Rhea","US","today 12-m","web",0
"80",2021-12-12,19,"Greater Rhea","US","today 12-m","web",0
"81",2021-12-19,62,"Greater Rhea","US","today 12-m","web",0
"82",2021-12-26,19,"Greater Rhea","US","today 12-m","web",0
"83",2022-01-02,0,"Greater Rhea","US","today 12-m","web",0
"84",2022-01-09,38,"Greater Rhea","US","today 12-m","web",0
"85",2022-01-16,19,"Greater Rhea","US","today 12-m","web",0
"86",2022-01-23,0,"Greater Rhea","US","today 12-m","web",0
"87",2022-01-30,20,"Greater Rhea","US","today 12-m","web",0
"88",2022-02-06,99,"Greater Rhea","US","today 12-m","web",0
"89",2022-02-13,100,"Greater Rhea","US","today 12-m","web",0
"90",2022-02-20,0,"Greater Rhea","US","today 12-m","web",0
"91",2022-02-27,19,"Greater Rhea","US","today 12-m","web",0
"92",2022-03-06,0,"Greater Rhea","US","today 12-m","web",0
"93",2022-03-13,0,"Greater Rhea","US","today 12-m","web",0
"94",2022-03-20,0,"Greater Rhea","US","today 12-m","web",0
"95",2022-03-27,0,"Greater Rhea","US","today 12-m","web",0
"96",2022-04-03,0,"Greater Rhea","US","today 12-m","web",0
"97",2022-04-10,19,"Greater Rhea","US","today 12-m","web",0
"98",2022-04-17,19,"Greater Rhea","US","today 12-m","web",0
"99",2022-04-24,19,"Greater Rhea","US","today 12-m","web",0
"100",2022-05-01,0,"Greater Rhea","US","today 12-m","web",0
"101",2022-05-08,0,"Greater Rhea","US","today 12-m","web",0
"102",2022-05-15,73,"Greater Rhea","US","today 12-m","web",0
"103",2022-05-22,19,"Greater Rhea","US","today 12-m","web",0
"104",2022-05-29,45,"Greater Rhea","US","today 12-m","web",0
